ID,性别,年龄,注册时间,文化程度,毕业院校,学习形式,征信记录,借款用途,还款来源,工作信息,收入情况,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,资金运用情况,其他事项,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127961059,男,22,2018/05/06,无,无,无,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,暂未提供,1,3,3,0,0,日常消费,暂无,4050.00,2389.41,4050.00,4778.82
127961060,男,36,2016/07/08,无,无,无,暂未提供,旅游,个人存款,暂未提供,5000-8000（含5000）,暂未提供,4,18,17,1,0,旅游,暂无,7357.00,0.00,2896.00,4438.46
127961062,男,21,2016/11/20,无,无,无,暂未提供,医疗,薪资收入,私营业主,2000-5000（含2000）,暂未提供,2,9,6,1,1,医疗,暂无,1050.00,0.00,550.00,1118.08
127961063,男,27,2016/04/01,无,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,"20,323.00",0,0,0,0,0,旅游,暂无,0.00,0.00,0.00,0.00
127961064,男,27,2015/06/27,无,无,无,暂未提供,旅游,经营收入,暂未提供,5000-8000（含5000）,"1,100.00",1,2,1,1,0,旅游,暂无,2600.00,0.00,2600.00,3419.96
127961067,女,25,2017/10/16,无,无,无,暂未提供,医疗,薪资收入,私营业主,5000-8000（含5000）,"4,445.00",1,2,2,0,0,医疗,暂无,2000.00,1573.32,2000.00,2359.98
127961068,男,30,2017/08/06,无,无,无,暂未提供,日常消费,经营收入,私营业主,暂未提供,暂未提供,0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961069,女,32,2016/01/06,本科,湖北经济学院,自学考试,有逾期,信用卡，其他贷款,日常消费,薪资收入,私营业主,15000及以上,24,141,136,5,0,日常消费,暂无,107319.00,15682.42,13000.00,29818.50
127961070,男,33,2016/12/20,无,无,无,暂未提供,日常消费,投资收入,私营业主,8000-15000（含8000）,"37,000.00",4,39,33,6,0,日常消费,暂无,10880.00,0.00,3343.00,8905.58
127961071,男,39,2013/11/14,无,无,无,暂未提供,旅游,经营收入,暂未提供,15000及以上,"118,579.00",1,4,2,2,0,旅游,暂无,5400.00,4516.48,5400.00,7370.04
127961072,女,32,2017/02/10,无,无,无,暂未提供,旅游,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,0,0,0,0,0,旅游,暂无,0.00,0.00,0.00,0.00
127961076,男,21,2018/06/07,专科,广西科技大学,成人,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,"5,499.00",1,3,3,0,0,日常消费,暂无,500.00,0.00,500.00,544.95
127961077,女,22,2016/06/30,无,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,暂未提供,5,38,38,0,0,日常消费,暂无,11365.00,0.00,4565.00,8250.58
127961079,男,26,2016/05/30,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,2,12,8,2,2,日常消费,暂无,4500.00,0.00,3000.00,3272.76
127961081,男,24,2017/09/07,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,3,2,0,1,日常消费,暂无,3000.00,0.00,3000.00,3620.34
127961084,女,27,2016/09/20,无,无,无,暂未提供,日常消费,经营收入,私营业主,15000及以上,暂未提供,2,16,11,4,0,日常消费,暂无,20500.00,0.00,11500.00,12479.40
127961085,男,39,2017/09/04,专科,江西广播电视大学,成人,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,暂未提供,2,4,4,0,0,日常消费,暂无,2000.00,0.00,1000.00,1211.73
127961087,男,22,2018/06/09,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,3,3,0,0,日常消费,暂无,2000.00,1179.93,2000.00,2359.86
127961088,男,27,2016/12/30,无,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,"23,000.00",0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961090,男,28,2017/03/20,无,无,无,暂未提供,日常消费,经营收入,私营业主,15000及以上,"20,751.00",1,5,5,0,0,日常消费,暂无,4000.00,3044.44,4000.00,5439.04
127961092,男,20,2016/08/30,无,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,暂未提供,4,17,17,0,0,日常消费,暂无,3595.00,0.00,1750.00,2128.20
127961094,男,37,2015/12/27,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,4,12,5,4,3,日常消费,暂无,4200.00,0.00,3000.00,3249.72
127961096,男,34,2015/07/05,无,无,无,暂未提供,兼职创业,薪资收入,私营业主,5000-8000（含5000）,暂未提供,4,21,21,0,0,兼职创业,暂无,11482.00,1246.17,4170.00,5199.63
127961101,男,29,2017/09/26,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,日常消费,暂无,1000.00,0.00,1000.00,1138.33
127961102,女,26,2017/12/05,无,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,"18,333.00",1,2,2,0,0,医疗,暂无,4250.00,3343.32,4250.00,5014.98
127961104,男,26,2017/03/22,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,12,57,55,2,0,日常消费,暂无,23631.00,5317.22,3746.00,7755.85
127961108,男,30,2016/06/29,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,15000及以上,"6,347.00",5,19,17,2,0,日常消费,暂无,10605.00,2119.88,3200.00,3817.26
127961111,女,35,2017/05/27,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,兼职创业,暂无,500.00,0.00,500.00,560.85
127961114,男,43,2016/08/04,无,无,无,暂未提供,旅游,薪资收入,私营业主,8000-15000（含8000）,暂未提供,1,3,1,2,0,旅游,暂无,4500.00,0.00,4500.00,5250.36
127961115,女,35,2018/02/21,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,2,11,11,0,0,日常消费,暂无,2793.00,1722.21,2000.00,2761.33
127961116,男,37,2016/12/30,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,1,6,6,0,0,日常消费,暂无,3300.00,0.00,3300.00,3769.68
127961117,女,34,2017/07/24,无,无,无,无逾期,旅游,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,5,29,17,7,0,旅游,暂无,7025.00,131.32,2000.00,4373.92
127961120,男,22,2017/10/06,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,2000-5000（含2000）,375.00,2,4,3,1,0,兼职创业,暂无,5600.00,2359.89,4000.00,4719.78
127961123,男,30,2017/06/19,专科(高职),百色学院,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,1,12,7,4,0,日常消费,暂无,12500.00,1146.00,12500.00,13771.17
127961124,女,26,2017/12/27,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,"108,951.00",2,8,7,1,0,日常消费,暂无,6593.00,1790.09,5000.00,5776.02
127961125,女,19,2017/07/22,无,无,无,暂未提供,日常消费,经营收入,暂未提供,2000-5000（含2000）,暂未提供,1,12,11,1,0,日常消费,暂无,5800.00,0.00,5800.00,6879.84
127961126,女,32,2017/10/29,专科,包头职业技术学院,普通,暂未提供,装修,薪资收入,私营业主,5000-8000（含5000）,"13,501.00",0,0,0,0,0,装修,暂无,0.00,0.00,0.00,0.00
127961130,男,34,2016/07/16,无,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,暂未提供,3,21,19,2,0,日常消费,暂无,7101.00,0.00,5500.00,6468.84
127961132,男,23,2016/05/16,本科,南通大学杏林学院,普通,无逾期,兼职创业,薪资收入,私营业主,5000-8000（含5000）,"6,862.00",7,35,20,13,0,兼职创业,暂无,16025.00,7582.14,4000.00,9071.39
127961135,男,26,2017/04/06,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,2,8,7,1,0,日常消费,暂无,3000.00,792.72,1500.00,1903.62
127961137,男,38,2017/05/03,无,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,暂未提供,7,50,50,0,0,日常消费,暂无,8459.00,1109.18,3100.00,4978.54
127961143,男,30,2015/10/22,本科,中国人民解放军理工大学,成人,有逾期,信用卡,日常消费,薪资收入,暂未提供,5000-8000（含5000）,4,21,20,1,0,日常消费,暂无,14624.00,0.00,5000.00,8385.57
127961144,男,27,2017/10/30,本科,重庆科技学院,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,4,20,19,1,0,日常消费,暂无,25855.00,10760.84,10100.00,13213.30
127961145,男,36,2017/03/22,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961146,女,31,2016/10/03,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,日常消费,暂无,1000.00,0.00,1000.00,1159.16
127961147,男,34,2016/05/29,无,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,暂未提供,1,3,2,1,0,日常消费,暂无,1200.00,707.97,1200.00,1441.92
127961152,女,19,2017/10/22,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,3,13,13,0,0,日常消费,暂无,3654.00,903.66,1500.00,1901.76
127961153,女,35,2016/04/08,专科,武汉时代职业学院,普通,暂未提供,医疗,经营收入,私营业主,15000及以上,暂未提供,12,61,47,13,0,医疗,暂无,22195.00,0.00,7000.00,11971.44
127961155,男,30,2018/05/05,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,3,3,0,0,日常消费,暂无,6000.00,6036.81,6000.00,8159.88
127961157,男,29,2018/01/26,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,"5,707.00",2,9,8,1,0,日常消费,暂无,2645.00,1597.51,2000.00,2719.32
127961159,男,21,2017/06/25,无,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,暂未提供,4,23,22,1,0,日常消费,暂无,5963.00,967.79,2750.00,3748.13
127961160,女,26,2017/03/15,无,无,无,暂未提供,生产经营,薪资收入,私营业主,15000及以上,"3,250.00",4,25,12,11,0,生产经营,暂无,28650.00,10587.20,11496.00,15980.55
127961161,男,23,2017/03/17,无,无,无,暂未提供,兼职创业,投资收入,暂未提供,5000-8000（含5000）,暂未提供,4,24,24,0,0,兼职创业,暂无,5383.00,0.00,2327.00,3972.49
127961164,男,33,2016/08/12,专科,明达职业技术学院,普通,暂未提供,日常消费,经营收入,私营业主,15000及以上,暂未提供,2,14,8,6,0,日常消费,暂无,9200.00,3345.88,8000.00,10877.64
127961166,男,25,2018/01/11,无,无,无,暂未提供,医疗,经营收入,暂未提供,5000-8000（含5000）,暂未提供,2,11,9,2,0,医疗,暂无,3723.00,2108.45,3000.00,4089.52
127961169,女,29,2015/03/23,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,2,7,7,0,0,日常消费,暂无,6860.00,0.00,3500.00,3798.09
127961172,男,21,2017/04/29,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,3,19,6,9,1,日常消费,暂无,7300.00,0.00,4750.00,7036.84
127961173,女,30,2017/04/03,无,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,"36,902.00",11,67,59,8,0,日常消费,暂无,21543.00,5345.69,6400.00,11241.46
127961175,男,23,2017/07/30,无,无,无,暂未提供,日常消费,经营收入,私营业主,2000-5000（含2000）,暂未提供,1,1,1,0,0,日常消费,暂无,1000.00,0.00,1000.00,1158.33
127961177,男,18,2017/11/21,专科,国家开放大学,开放教育,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,2,3,3,0,0,装修,暂无,1250.00,737.46,1250.00,1474.92
127961178,女,55,2018/09/11,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,"90,088.00",0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961180,女,19,2016/12/17,无,无,无,暂未提供,医疗,经营收入,私营业主,5000-8000（含5000）,暂未提供,1,3,3,0,0,医疗,暂无,4000.00,4319.85,4000.00,4895.83
127961181,男,24,2017/11/28,无,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,暂未提供,2,11,10,1,0,日常消费,暂无,2976.00,1791.65,2400.00,3288.66
127961182,男,28,2017/02/16,专科,云南能源职业技术学院,普通,暂未提供,装修,经营收入,暂未提供,8000-15000（含8000）,"8,565.00",9,41,31,10,0,装修,暂无,27443.00,8333.74,10000.00,13493.67
127961183,男,20,2018/04/17,无,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,暂未提供,1,5,5,0,0,日常消费,暂无,500.00,0.00,500.00,679.44
127961184,男,36,2015/02/01,无,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,暂未提供,5,54,36,18,0,装修,暂无,23200.00,0.00,8500.00,10073.34
127961186,女,36,2017/01/17,无,无,无,暂未提供,日常消费,经营收入,私营业主,5000-8000（含5000）,暂未提供,2,20,20,0,0,日常消费,暂无,14000.00,668.26,9000.00,10593.74
127961188,女,22,2018/09/11,无,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,0,0,0,0,0,旅游,暂无,0.00,0.00,0.00,0.00
127961191,男,24,2017/08/05,无,无,无,有逾期,信用卡,日常消费,薪资收入,暂未提供,5000-8000（含5000）,1,9,9,0,0,日常消费,暂无,3000.00,978.72,3000.00,4079.88
127961196,女,20,2016/08/04,无,无,无,暂未提供,旅游,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,10,28,27,1,0,旅游,暂无,12378.00,0.00,1559.00,3137.55
127961199,男,23,2016/11/02,专科,四川师范大学,成人,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,14,92,86,6,0,日常消费,暂无,26395.00,1653.96,4500.00,11510.33
127961200,女,28,2016/07/02,专科,湖南广播电视大学,成人,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,"3,481.00",8,34,32,1,0,日常消费,暂无,9769.00,4607.75,3675.00,5909.30
127961201,男,27,2017/12/06,无,无,无,暂未提供,日常消费,投资收入,私营业主,5000-8000（含5000）,暂未提供,5,21,11,10,0,日常消费,暂无,7500.00,3235.86,5000.00,6799.86
127961204,男,19,2018/08/23,无,无,无,暂未提供,日常消费,薪资收入,公务员,5000-8000（含5000）,"6,000.00",1,2,2,0,0,日常消费,暂无,500.00,581.28,500.00,653.94
127961207,男,33,2018/08/29,无,无,无,暂未提供,日常消费,薪资收入,工薪族,暂未提供,暂未提供,0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961208,男,23,2017/08/06,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,3,22,22,0,0,日常消费,暂无,2170.00,617.32,1000.00,1296.00
127961209,女,29,2017/11/27,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,3,15,15,0,0,日常消费,暂无,17600.00,4144.42,8500.00,10024.66
127961210,男,32,2016/09/14,无,无,无,暂未提供,装修,经营收入,私营业主,8000-15000（含8000）,"35,598.00",5,26,24,2,0,装修,暂无,11184.00,3587.22,6100.00,7235.64
127961212,男,46,2018/02/09,无,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,暂未提供,1,5,5,0,0,日常消费,暂无,5000.00,3589.04,5000.00,6152.64
127961213,男,28,2016/06/25,本科,三亚学院,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,"1,131.00",1,2,2,0,0,日常消费,暂无,12000.00,12360.80,12000.00,14832.96
127961215,男,52,2015/12/16,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,"9,261.00",13,120,115,4,0,日常消费,暂无,53858.00,0.00,7166.00,15188.82
127961216,男,23,2018/06/29,无,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,"59,583.00",1,2,2,0,0,日常消费,暂无,4180.00,3288.12,4180.00,4932.18
127961218,男,26,2018/09/05,无,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,0,0,0,0,0,装修,暂无,0.00,0.00,0.00,0.00
127961219,男,22,2016/07/19,无,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,暂未提供,2,10,2,4,2,日常消费,暂无,3200.00,0.00,3000.00,3879.97
127961222,男,29,2016/05/09,专科,昆明医科大学,成人,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,13,116,61,53,2,日常消费,暂无,35487.00,0.00,5000.00,17125.68
127961223,男,30,2014/07/26,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,3,3,0,0,日常消费,暂无,300.00,0.00,300.00,0.00
127961224,女,28,2016/01/08,本科,云南师范大学商学院,普通,暂未提供,兼职创业,薪资收入,暂未提供,5000-8000（含5000）,"89,871.00",17,59,46,10,0,兼职创业,暂无,44824.00,6585.66,8000.00,11619.28
127961225,男,31,2015/05/17,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,7,7,0,0,日常消费,暂无,7000.00,0.00,7000.00,9518.40
127961228,女,29,2017/07/12,无,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,"5,786.00",19,72,72,0,0,日常消费,暂无,11184.00,718.80,2650.00,3074.04
127961229,男,33,2018/03/11,无,无,无,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,"19,731.00",1,6,5,1,0,生产经营,暂无,5500.00,3450.60,5500.00,7478.70
127961230,男,36,2016/01/06,专科,广西师范大学,普通,暂未提供,生产经营,经营收入,私营业主,8000-15000（含8000）,"23,251.00",0,0,0,0,0,生产经营,暂无,0.00,0.00,0.00,0.00
127961232,男,26,2014/10/22,无,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,8,16,13,3,0,旅游,暂无,5150.00,0.00,1000.00,1898.14
127961235,女,23,2018/09/06,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,2000以下,"2,875.00",0,0,0,0,0,兼职创业,暂无,0.00,0.00,0.00,0.00
127961236,女,21,2018/09/09,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,"1,689.00",1,0,0,0,0,日常消费,暂无,4750.00,5605.02,4750.00,5605.02
127961239,男,34,2017/05/18,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,10,66,59,7,0,日常消费,暂无,26601.00,0.00,6559.00,24510.18
127961240,女,25,2017/08/16,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,6,4,2,0,日常消费,暂无,5300.00,0.00,5300.00,6266.34
127961241,男,25,2017/04/06,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,"2,071.00",7,47,47,0,0,日常消费,暂无,11599.00,1617.14,2493.00,5314.34
127961245,男,34,2016/04/21,本科,安阳工学院,普通,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,14,82,78,4,0,医疗,暂无,48524.00,12137.77,8520.00,16905.44
127961247,男,37,2017/11/08,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,7,5,2,0,日常消费,暂无,1000.00,543.60,1000.00,1359.64
127961250,女,21,2017/12/30,无,无,无,暂未提供,兼职创业,个人存款,暂未提供,5000-8000（含5000）,暂未提供,2,21,21,0,0,兼职创业,暂无,4060.00,0.00,3500.00,4758.90
127961252,男,23,2016/12/19,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,2,2,0,0,日常消费,暂无,3800.00,2989.32,3800.00,4483.98
127961254,男,28,2018/04/26,无,无,无,暂未提供,兼职创业,个人存款,暂未提供,2000-5000（含2000）,暂未提供,0,0,0,0,0,兼职创业,暂无,0.00,0.00,0.00,0.00
127961255,男,24,2018/04/11,无,无,无,暂未提供,生产经营,个人存款,暂未提供,5000-8000（含5000）,暂未提供,1,5,5,0,0,生产经营,暂无,2000.00,1550.57,2000.00,2718.12
127961256,男,27,2017/07/10,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,暂未提供,2,6,0,6,0,日常消费,暂无,21000.00,13105.71,11000.00,13105.71
127961258,男,23,2018/06/28,无,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,"1,963.00",1,2,2,0,0,医疗,暂无,2000.00,2266.50,2000.00,2719.80
127961259,女,30,2015/06/24,无,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,"9,154.00",15,81,61,18,0,旅游,暂无,38022.00,0.00,6298.00,13881.02
127961260,男,22,2016/04/28,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,1,12,9,3,0,兼职创业,暂无,3000.00,0.00,3000.00,3539.12
127961263,女,23,2016/12/10,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,8000-15000（含8000）,"3,600.00",1,2,2,0,0,兼职创业,暂无,6500.00,7342.60,6500.00,8811.12
127961264,男,35,2018/09/10,无,无,无,暂未提供,日常消费,薪资收入,工薪族,暂未提供,暂未提供,0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961265,男,23,2017/08/27,无,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,暂未提供,1,3,2,1,0,日常消费,暂无,2200.00,1297.92,2200.00,2595.84
