ID,性别,年龄,文化程度,收入情况,还款来源,征信记录,借款用途,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127961067,0,25,0,3,9,0,3,4445,1,2,2,0,0,2000,1573.32,2000,2359.98
127961068,1,30,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
127961069,0,32,2,0,5,1,5,0,24,141,136,1,0,107319,15682.42,13000,29818.5
127961070,1,33,0,4,7,0,1,37000,4,39,33,1,0,10880,0,3343,8905.58
127961071,1,39,0,5,3,0,2,118579,1,4,2,1,0,5400,4516.48,5400,7370.04
127961072,0,32,0,4,9,0,2,0,0,0,0,0,0,0,0,0,0
127961076,1,21,1,3,1,0,1,5499,1,3,3,0,0,500,0,500,544.95
127961077,0,22,0,3,3,0,1,0,5,38,38,0,0,11365,0,4565,8250.58
127961079,1,26,0,2,9,0,1,0,2,12,8,1,1,4500,0,3000,3272.76
127961081,1,24,0,2,9,0,1,0,1,3,2,0,1,3000,0,3000,3620.34
127961084,0,27,0,5,3,0,1,0,2,16,11,1,0,20500,0,11500,12479.4
127961085,1,39,1,4,9,0,1,0,2,4,4,0,0,2000,0,1000,1211.73
127961087,1,22,0,2,9,0,1,0,1,3,3,0,0,2000,1179.93,2000,2359.86
127961088,1,27,0,3,3,0,1,23000,0,0,0,0,0,0,0,0,0
127961090,1,28,0,5,3,0,1,20751,1,5,5,0,0,4000,3044.44,4000,5439.04
127961092,1,20,0,2,9,0,1,0,4,17,17,0,0,3595,0,1750,2128.2
127961094,1,37,0,3,9,0,1,0,4,12,5,1,1,4200,0,3000,3249.72
127961096,1,34,0,3,9,0,4,0,4,21,21,0,0,11482,1246.17,4170,5199.63
127961101,1,29,0,3,9,0,1,0,1,1,1,0,0,1000,0,1000,1138.33
127961102,0,26,0,3,9,0,3,18333,1,2,2,0,0,4250,3343.32,4250,5014.98
127961104,1,26,0,3,9,0,1,0,12,57,55,1,0,23631,5317.22,3746,7755.85
127961108,1,30,0,5,9,0,1,6347,5,19,17,1,0,10605,2119.88,3200,3817.26
127961111,0,35,0,3,9,0,4,0,1,1,1,0,0,500,0,500,560.85
127961114,1,43,0,4,9,0,2,0,1,3,1,1,0,4500,0,4500,5250.36
127961115,0,35,0,4,9,0,1,0,2,11,11,0,0,2793,1722.21,2000,2761.33
127961116,1,37,0,4,9,0,1,0,1,6,6,0,0,3300,0,3300,3769.68
127961117,0,34,0,3,9,2,2,0,5,29,17,1,0,7025,131.32,2000,4373.92
127961120,1,22,0,2,9,0,4,375,2,4,3,1,0,5600,2359.89,4000,4719.78
127961123,1,30,1,4,9,0,1,0,1,12,7,1,0,12500,1146,12500,13771.17
127961124,0,26,0,4,9,0,1,108951,2,8,7,1,0,6593,1790.09,5000,5776.02
127961125,0,19,0,2,3,0,1,0,1,12,11,1,0,5800,0,5800,6879.84
127961126,0,32,1,3,9,0,6,13501,0,0,0,0,0,0,0,0,0
127961130,1,34,0,3,9,0,1,0,3,21,19,1,0,7101,0,5500,6468.84
127961132,1,23,2,3,9,2,4,6862,7,35,20,1,0,16025,7582.14,4000,9071.39
127961135,1,26,0,2,9,0,1,0,2,8,7,1,0,3000,792.72,1500,1903.62
127961137,1,38,0,3,3,0,1,0,7,50,50,0,0,8459,1109.18,3100,4978.54
127961143,1,30,2,0,5,1,5,0,4,21,20,1,0,14624,0,5000,8385.57
127961144,1,27,2,4,9,0,1,0,4,20,19,1,0,25855,10760.84,10100,13213.3
127961145,1,36,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961146,0,31,0,3,9,0,1,0,1,1,1,0,0,1000,0,1000,1159.16
127961147,1,34,0,4,3,0,1,0,1,3,2,1,0,1200,707.97,1200,1441.92
127961152,0,19,0,2,9,0,1,0,3,13,13,0,0,3654,903.66,1500,1901.76
127961153,0,35,1,5,3,0,3,0,12,61,47,1,0,22195,0,7000,11971.44
127961155,1,30,0,2,9,0,1,0,1,3,3,0,0,6000,6036.81,6000,8159.88
127961157,1,29,0,2,9,0,1,5707,2,9,8,1,0,2645,1597.51,2000,2719.32
127961159,1,21,0,3,9,0,1,0,4,23,22,1,0,5963,967.79,2750,3748.13
127961160,0,26,0,5,9,0,8,3250,4,25,12,1,0,28650,10587.2,11496,15980.55
127961161,1,23,0,3,7,0,4,0,4,24,24,0,0,5383,0,2327,3972.49
127961164,1,33,1,5,3,0,1,0,2,14,8,1,0,9200,3345.88,8000,10877.64
127961166,1,25,0,3,3,0,3,0,2,11,9,1,0,3723,2108.45,3000,4089.52
127961169,0,29,0,2,9,0,1,0,2,7,7,0,0,6860,0,3500,3798.09
127961172,1,21,0,2,9,0,1,0,3,19,6,1,1,7300,0,4750,7036.84
127961173,0,30,0,3,1,0,1,36902,11,67,59,1,0,21543,5345.69,6400,11241.46
127961175,1,23,0,2,3,0,1,0,1,1,1,0,0,1000,0,1000,1158.33
127961177,1,18,1,3,9,0,6,0,2,3,3,0,0,1250,737.46,1250,1474.92
127961178,0,55,0,2,9,0,1,90088,0,0,0,0,0,0,0,0,0
127961180,0,19,0,3,3,0,3,0,1,3,3,0,0,4000,4319.85,4000,4895.83
127961181,1,24,0,3,9,0,1,0,2,11,10,1,0,2976,1791.65,2400,3288.66
127961182,1,28,1,4,3,0,6,8565,9,41,31,1,0,27443,8333.74,10000,13493.67
127961183,1,20,0,3,9,0,1,0,1,5,5,0,0,500,0,500,679.44
127961184,1,36,0,3,3,0,6,0,5,54,36,1,0,23200,0,8500,10073.34
127961186,0,36,0,3,3,0,1,0,2,20,20,0,0,14000,668.26,9000,10593.74
127961188,0,22,0,3,9,0,2,0,0,0,0,0,0,0,0,0,0
127961191,1,24,0,0,5,1,5,0,1,9,9,0,0,3000,978.72,3000,4079.88
127961196,0,20,0,2,9,0,2,0,10,28,27,1,0,12378,0,1559,3137.55
127961199,1,23,1,2,9,0,1,0,14,92,86,1,0,26395,1653.96,4500,11510.33
127961200,0,28,1,2,9,0,1,3481,8,34,32,1,0,9769,4607.75,3675,5909.3
127961201,1,27,0,3,7,0,1,0,5,21,11,1,0,7500,3235.86,5000,6799.86
127961204,1,19,0,3,9,0,1,6000,1,2,2,0,0,500,581.28,500,653.94
127961207,1,33,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0
127961208,1,23,0,3,9,0,1,0,3,22,22,0,0,2170,617.32,1000,1296
127961209,0,29,0,3,9,0,1,0,3,15,15,0,0,17600,4144.42,8500,10024.66
127961210,1,32,0,4,3,0,6,35598,5,26,24,1,0,11184,3587.22,6100,7235.64
127961212,1,46,0,4,3,0,1,0,1,5,5,0,0,5000,3589.04,5000,6152.64
127961213,1,28,2,4,9,0,1,1131,1,2,2,0,0,12000,12360.8,12000,14832.96
127961215,1,52,0,4,9,0,1,9261,13,120,115,1,0,53858,0,7166,15188.82
127961216,1,23,0,4,9,0,1,59583,1,2,2,0,0,4180,3288.12,4180,4932.18
127961218,1,26,0,3,9,0,6,0,0,0,0,0,0,0,0,0,0
127961219,1,22,0,2,9,0,1,0,2,10,2,1,1,3200,0,3000,3879.97
127961222,1,29,1,2,9,0,1,0,13,116,61,1,1,35487,0,5000,17125.68
127961223,1,30,0,2,9,0,1,0,1,3,3,0,0,300,0,300,0
127961224,0,28,2,3,9,0,4,89871,17,59,46,1,0,44824,6585.66,8000,11619.28
127961225,1,31,0,3,9,0,1,0,1,7,7,0,0,7000,0,7000,9518.4
127961228,0,29,0,2,9,0,1,5786,19,72,72,0,0,11184,718.8,2650,3074.04
127961229,1,33,0,3,3,0,8,19731,1,6,5,1,0,5500,3450.6,5500,7478.7
127961230,1,36,1,4,3,0,8,23251,0,0,0,0,0,0,0,0,0
127961232,1,26,0,3,9,0,2,0,8,16,13,1,0,5150,0,1000,1898.14
127961235,0,23,0,1,9,0,4,2875,0,0,0,0,0,0,0,0,0
127961236,0,21,0,3,9,0,1,1689,1,0,0,0,0,4750,5605.02,4750,5605.02
127961239,1,34,0,3,9,0,1,0,10,66,59,1,0,26601,0,6559,24510.18
127961240,0,25,0,3,9,0,1,0,1,6,4,1,0,5300,0,5300,6266.34
127961241,1,25,0,4,9,0,1,2071,7,47,47,0,0,11599,1617.14,2493,5314.34
127961245,1,34,2,2,9,0,3,0,14,82,78,1,0,48524,12137.77,8520,16905.44
127961247,1,37,0,2,9,0,1,0,1,7,5,1,0,1000,543.6,1000,1359.64
127961250,0,21,0,3,1,0,4,0,2,21,21,0,0,4060,0,3500,4758.9
127961252,1,23,0,2,9,0,1,0,1,2,2,0,0,3800,2989.32,3800,4483.98
127961254,1,28,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0
127961255,1,24,0,3,1,0,8,0,1,5,5,0,0,2000,1550.57,2000,2718.12
127961256,1,27,0,4,9,0,1,0,2,6,0,1,0,21000,13105.71,11000,13105.71
127961258,1,23,0,3,9,0,3,1963,1,2,2,0,0,2000,2266.5,2000,2719.8
127961259,0,30,0,3,9,0,2,9154,15,81,61,1,0,38022,0,6298,13881.02
127961260,1,22,0,2,9,0,4,0,1,12,9,1,0,3000,0,3000,3539.12
127961263,0,23,0,4,9,0,4,3600,1,2,2,0,0,6500,7342.6,6500,8811.12
127961264,1,35,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0
127961265,1,23,0,2,1,0,1,0,1,3,2,1,0,2200,1297.92,2200,2595.84
127961268,0,25,1,5,9,0,1,0,1,4,4,0,0,17000,13638.32,17000,20457.48
127961269,1,45,0,4,3,0,1,0,12,75,67,1,0,24525,5173.31,6100,7404.45
127961271,1,31,0,3,3,0,4,0,7,36,32,1,0,6765,1032.95,2000,2444.64
127961273,0,27,0,2,1,0,1,0,20,82,81,1,0,46843,1233.39,6500,13063.25
127961274,1,28,0,3,3,0,1,0,2,6,4,1,0,7441,5968.71,6000,8158.68
127961276,0,18,0,2,9,0,4,0,1,3,3,0,0,800,0,800,871.95
127961277,1,20,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961278,0,27,0,4,9,0,1,0,2,7,6,1,0,5952,0,4500,6118.5
127961279,1,33,0,3,9,0,1,8200,16,122,122,0,0,57330,17838.15,11000,28283.18
127961281,1,18,0,2,9,2,8,0,1,4,4,0,0,1500,0,1500,1769.94
127961287,1,39,0,3,9,2,1,0,5,18,18,0,0,7700,0,2300,2918.91
127961288,0,39,0,5,3,0,1,248930,1,9,9,0,0,4000,1304.67,4000,5438.68
127961289,0,21,0,3,9,0,3,0,2,10,9,1,0,3657,2158.01,2750,3739.1
127961290,0,22,0,2,9,0,1,0,3,14,10,1,0,2647,0,1097,1455.11
127961291,1,36,0,0,6,1,5,0,2,10,10,0,0,7300,0,4000,4704.6
127961293,1,23,0,3,9,2,1,0,2,17,11,1,0,2343,313.36,1750,2075.76
127961296,1,22,0,3,9,0,1,0,2,7,2,1,0,9010,3567,4510,5643.63
127961301,1,46,0,3,9,0,3,78615,1,5,5,0,0,5000,966.13,5000,5796.78
127961306,1,21,0,2,9,0,2,0,1,3,3,0,0,500,0,500,603.33
127961309,0,23,0,2,3,0,3,0,9,67,64,1,0,14894,2417.43,4298,8079.32
127961310,1,26,0,2,3,0,1,0,2,16,4,1,1,3500,0,3000,3357.72
127961311,0,25,0,2,3,0,1,52992,5,42,42,0,0,18657,0,8000,10824.18
127961312,1,37,1,2,9,0,1,0,16,92,76,1,0,38420,5799.75,6000,12620.81
127961314,1,22,1,3,9,0,6,12137,7,49,32,1,0,14065,0,5000,8059.53
127961315,1,29,0,4,3,0,2,0,1,1,1,0,0,1030,0,1030,1198.23
127961316,1,25,0,2,9,0,1,0,4,36,33,1,0,3233,0,1000,2456.49
127961317,1,25,0,1,9,0,3,0,1,5,5,0,0,5000,3659.74,5000,6798.84
127961318,1,26,0,3,9,0,2,0,13,133,123,1,0,25695,0,4000,13239.55
127961319,1,19,0,2,9,0,1,0,3,13,8,1,0,3450,0,1750,2379.37
127961320,0,33,2,4,9,0,6,85319,2,12,4,1,0,19026,0,11500,12736.6
127961322,1,35,0,2,9,0,8,14055,14,59,57,1,0,19885,0,3000,6098.25
127961324,0,23,0,3,9,0,1,0,11,47,43,1,0,16938,0,5190,7493.22
127961325,0,32,1,3,9,0,3,13501,0,0,0,0,0,0,0,0,0
127961326,1,50,0,3,9,0,1,0,1,6,6,0,0,4000,0,4000,4567.44
127961327,0,37,0,2,3,0,1,0,1,6,6,0,0,3000,0,3000,3426.96
127961329,1,29,0,3,3,0,6,0,2,21,21,0,0,2000,0,1000,1359.9
127961330,1,28,1,3,9,0,1,0,1,3,3,0,0,2000,1179.9,2000,2359.8
127961331,1,32,0,3,3,0,1,59302,8,43,36,1,0,17005,0,5147,8135.74
127961332,1,26,0,2,1,0,1,0,4,13,13,0,0,3660,368.7,1000,1176.36
127961333,1,25,0,2,9,0,1,0,1,4,4,0,0,2500,2132.56,2500,3399.86
127961334,1,28,0,3,9,0,1,0,8,74,64,1,0,31304,4058.7,6000,15950.12
127961336,1,45,0,4,9,0,2,10000,1,4,4,0,0,4000,3478.8,4000,5439.84
127961337,1,26,0,3,9,0,3,0,1,3,3,0,0,2000,0,2000,2333.49
127961338,1,35,1,4,9,0,2,0,7,56,51,1,0,36745,0,9045,17311.74
127961341,1,30,0,3,9,0,1,0,9,32,25,1,0,21896,5134.67,6500,7516.11
127961344,1,42,0,4,3,0,1,0,2,15,8,1,0,8000,2793.33,5000,5922.21
127961345,1,30,1,0,5,1,9,0,21,107,81,1,0,37873,8390.71,3690,11151.29
127961346,1,21,1,1,3,0,8,20100,1,2,2,0,0,2300,1809.2,2300,2713.8
127961347,0,26,1,2,9,0,2,14983,5,15,14,1,0,16323,2711.17,6500,8838.02
127961350,1,34,0,4,9,0,1,0,1,6,5,1,0,2000,0,2000,2454.6
127961352,1,21,0,3,9,0,1,0,8,30,28,1,0,10028,4113.72,2839,5301.3
127961353,1,23,0,3,9,0,1,0,2,13,13,0,0,2234,1040.2,1500,2236.08
127961354,1,32,0,3,1,2,1,0,18,195,191,1,0,27647,0,3770,15568.65
127961356,0,29,1,4,1,0,6,1708,2,4,4,0,0,6635,6985.3,4000,7851.2
127961361,1,31,0,5,3,0,1,0,8,53,52,1,0,30826,5448.8,10310,13887.41
127961362,1,41,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961363,1,19,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0
127961364,0,24,2,3,3,2,1,0,11,46,42,1,0,26471,7291.61,7000,14283.42
127961365,1,35,1,3,9,0,6,0,2,21,10,1,0,3327,0,2327,3424.32
127961366,1,42,0,3,9,0,1,0,3,25,11,1,1,8000,0,3000,2190.72
127961369,0,30,0,3,3,0,3,28547,28,145,145,0,0,77946,0,9209,13518.96
127961370,1,20,0,3,9,0,1,0,7,54,29,1,0,12549,2298.4,4900,5799.65
127961374,1,28,0,3,9,0,6,0,7,30,29,1,0,18349,725.92,5500,8132.52
127961376,0,33,0,2,1,0,2,0,1,3,3,0,0,7000,7139.79,7000,9519.72
127961377,1,46,0,3,3,0,1,2000,8,42,41,1,0,23353,6176.84,6600,9666.44
127961378,1,43,0,3,1,0,1,11000,1,2,2,0,0,3000,2360,3000,3540
127961379,1,36,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961380,1,21,0,2,9,0,1,0,1,10,10,0,0,500,0,500,679.72
127961381,0,32,0,3,9,0,1,29375,1,5,5,0,0,4000,2927.26,4000,5439.78
127961385,1,20,0,1,3,0,2,1381,1,3,3,0,0,1500,0,1500,2039.89
127961387,0,22,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0
127961391,0,19,0,3,9,0,6,0,1,3,3,0,0,2000,0,2000,2264.64
127961392,0,41,0,3,3,0,3,26693,0,0,0,0,0,0,0,0,0
127961393,1,26,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0
127961394,1,20,0,3,9,0,6,0,3,9,8,1,0,3357,0,3357,3834.81
127961396,1,24,1,2,9,0,4,21762,14,110,85,1,0,18671,0,3000,11023.77
127961397,1,25,0,2,1,0,3,0,1,4,0,1,0,11000,11219.67,11000,14995.72
127961399,1,30,0,4,3,0,1,0,6,37,30,1,0,18776,3585.43,5900,10832.67
127961400,0,33,1,2,9,0,6,165452,7,25,22,1,0,61191,4916.14,13200,14958.78
127961403,1,44,0,4,3,0,6,0,2,8,6,1,0,3700,0,2700,3426.57
127961405,1,37,0,3,1,0,8,0,5,48,42,1,0,9970,0,4900,8170.4
127961406,1,24,0,4,9,0,6,0,1,12,12,0,0,4000,0,4000,4864.68
127961407,1,38,0,4,9,0,4,0,3,23,23,0,0,4608,161.31,2100,3472.86
127961412,1,21,0,3,9,0,1,0,6,16,8,1,0,4150,0,1250,2159.39
127961413,1,26,0,3,9,0,1,4749,11,44,36,1,0,10864,2281.47,1830,3242.15
127961414,0,52,0,5,9,0,1,143364,1,3,0,1,0,2500,0,2500,2940.36
127961415,1,35,1,5,3,0,6,0,2,7,5,1,0,11008,8349.62,9500,11702.64
127961417,1,46,0,4,3,0,1,0,6,30,29,1,0,16738,0,5600,7144.06
127961418,0,22,1,1,9,0,2,458,5,13,12,1,0,10582,8149.34,8000,10255.14
127961419,1,25,0,3,3,0,6,0,2,20,6,1,0,4908,408.71,3008,5395.73
127961420,1,24,0,3,9,0,1,1765,5,3,3,0,0,4700,5251.29,1800,5251.29
127961421,1,20,0,3,9,0,6,0,1,6,2,1,0,6000,0,6000,6853.98
127961422,0,28,0,4,3,0,1,0,1,0,0,0,0,4800,5663.82,4800,5663.82
127961424,1,24,1,5,9,0,3,3449,15,100,100,0,0,49840,4278.26,8600,19030.39
127961427,1,47,0,5,9,0,1,0,5,36,36,0,0,7935,0,4200,4600.56
127961428,1,31,1,3,9,0,1,75251,2,10,8,1,0,9800,2536.21,6000,6853.98
127961429,1,22,0,1,9,0,6,0,1,6,6,0,0,2250,0,2250,2570.22
127961432,0,21,0,2,9,0,1,0,1,3,3,0,0,5500,3244.77,5500,6489.54
127961433,1,23,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0
127961437,1,22,0,3,9,0,1,0,4,23,22,1,0,6625,586,2400,5316.88
127961438,1,21,0,3,9,0,1,0,2,7,7,0,0,3000,992.75,1500,1904.7
127961439,1,24,0,2,9,0,8,0,1,6,5,1,0,750,0,750,930.54
127961441,1,35,1,4,9,0,1,0,1,9,3,1,0,2000,652.32,2000,2719.28
127961444,0,20,0,3,9,0,1,3358,0,0,0,0,0,0,0,0,0
127961445,1,34,0,3,3,0,1,0,3,12,9,1,0,5306,0,3000,3666.96
127961447,1,20,0,3,3,0,6,0,4,24,24,0,0,3300,444.24,1000,1168.42
127961448,0,26,0,3,3,0,1,0,2,12,10,1,0,5226,0,3500,4085.64
127961452,1,21,0,2,9,0,4,6259,1,3,3,0,0,1500,0,1500,1687.56
127961453,1,25,0,3,7,0,6,0,0,0,0,0,0,0,0,0,0
127961455,0,38,2,3,9,0,1,0,6,48,48,0,0,37467,0,10000,17486.22
127961456,0,31,0,5,9,0,1,14071,1,3,3,0,0,4000,2336.64,4000,4719.88
127961457,1,21,0,2,3,0,6,2917,1,4,3,1,0,2000,1672.72,2000,2744.99
127961460,1,37,0,3,1,0,1,0,8,38,15,1,1,9706,0,2500,3353.56
127961461,1,26,0,3,9,0,1,0,2,10,9,1,0,2810,1465.86,2000,2719.24
127961468,1,28,0,3,3,0,6,0,1,6,2,1,0,7000,0,7000,7786.32
127961470,1,36,0,3,9,0,1,0,5,31,20,1,0,25304,5483.8,8300,10534.83
127961471,1,28,0,2,9,0,1,0,1,3,0,1,0,1800,0,1800,2074.82
127961474,1,30,0,5,3,2,1,2500,2,24,21,1,0,3300,0,2300,3511.84
127961475,1,50,0,4,9,2,1,46539,1,6,6,0,0,5500,0,5500,6557.76
127961476,1,29,0,3,9,2,2,0,5,23,14,1,0,6650,0,3000,4914.09
127961477,1,18,0,2,1,0,6,0,3,14,14,0,0,2959,1200.54,1337,2478.27
127961481,1,31,0,2,9,0,1,0,1,3,2,1,0,1015,0,1015,1224.78
127961482,1,30,0,3,9,0,1,0,1,5,5,0,0,2500,1902.74,2500,3399.34
127961483,1,53,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0
127961484,1,44,0,3,1,0,1,833,15,100,66,1,0,37846,10038.26,5114,14738.02
127961487,1,33,1,3,9,0,1,0,5,20,17,1,0,14656,0,4000,4867.78
127961489,0,28,0,4,1,0,1,107003,16,90,83,1,0,46869,6416.58,9500,14319.53
127961491,1,23,0,2,1,0,3,0,2,10,10,0,0,1827,631.97,1000,1829.28
127961492,1,19,0,2,9,0,1,0,2,8,4,1,0,3200,739.84,1800,1801.85
127961493,1,29,0,4,9,0,1,0,1,6,6,0,0,1500,0,1500,2039.58
127961494,0,24,0,4,1,0,1,10973,6,34,30,1,0,12739,5057.97,6300,7472.88
127961496,1,27,0,3,9,0,6,13133,6,18,18,0,0,9433,0,4500,6535.06
127961498,1,24,0,3,9,2,1,11936,0,0,0,0,0,0,0,0,0
127961500,0,29,1,3,9,0,6,11450,4,26,13,1,0,18035,4346.68,6462,11233.08
127961501,0,40,0,4,1,0,6,15975,5,34,31,1,0,18401,4468.44,5626,8255.33
127961504,1,28,0,3,1,0,1,0,10,40,39,1,0,14334,1536.96,2600,3809.43
127961507,0,36,2,2,9,0,1,27240,1,4,4,0,0,13500,11910.4,13500,17865.6
127961508,0,19,0,3,7,0,2,0,1,5,4,1,0,1000,0,1000,1359
127961511,1,28,1,3,9,0,1,12099,0,0,0,0,0,0,0,0,0
127961512,1,22,0,2,9,0,1,0,3,10,7,0,0,4760,0,2010,2228.76
127961514,0,31,0,2,1,0,1,31433,12,43,43,0,0,10614,1447.42,1300,3807.21
127961515,1,41,0,4,9,0,1,0,8,49,33,1,1,31567,0,6000,6749.65
127961516,1,23,0,4,9,0,1,0,1,3,2,1,0,9100,9658.86,9100,11804.28
127961517,1,30,0,3,9,0,1,0,9,80,61,1,0,39153,5431.88,10278,21147.25
127961518,0,22,0,2,1,0,1,0,1,3,3,0,0,3800,3875.85,3800,5167.8
127961519,1,26,0,4,3,0,1,0,6,20,19,1,0,9501,2400.72,3170,3729.59
127961520,0,31,0,2,3,2,1,0,9,75,74,1,0,17777,0,3000,9839.54
127961529,1,31,0,3,9,0,1,2200,7,48,48,0,0,14841,5512.55,3415,7771.4
127961533,1,33,0,4,3,0,1,0,4,9,7,1,0,4000,0,1000,1269.84
127961534,1,23,0,3,9,0,1,0,1,12,11,1,0,6100,0,6100,7124.59
127961535,1,48,0,3,3,0,1,0,1,5,4,1,0,2500,1822.59,2500,3399.42
127961540,1,23,0,3,3,0,1,0,4,5,5,0,0,6000,969.3,2000,2359.92
127961542,0,28,1,4,3,0,1,1790,1,2,2,0,0,10100,11446.4,10100,13735.68
127961544,1,28,0,4,1,0,1,0,5,31,31,0,0,20823,10198.14,10511,12803.1
127961548,1,19,0,2,1,0,3,0,1,2,2,0,0,800,290.65,800,871.95
127961551,0,22,0,4,3,0,1,7350,15,114,113,1,0,36595,5121.87,4776,16279.26
127961552,0,22,0,2,9,0,3,1435,0,0,0,0,0,0,0,0,0
127961553,1,20,0,2,9,0,8,0,0,0,0,0,0,0,0,0,0
127961555,1,23,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961556,0,40,0,3,9,0,2,5854,6,32,31,1,0,7062,2112.17,3000,4164.35
127961558,0,35,1,3,9,0,1,9294,2,12,4,1,0,14616,3328.92,8000,9258.14
127961559,1,20,0,4,9,0,1,427,3,12,10,1,0,1728,534.16,700,1224.63
127961561,0,39,0,5,3,0,2,0,4,28,24,1,0,25138,0,12200,14259.54
127961565,1,45,0,5,1,0,1,127400,0,0,0,0,0,0,0,0,0
127961566,1,44,0,4,9,0,1,5714,3,8,8,0,0,13151,5519.23,8500,9854.58
127961567,1,18,0,3,9,0,1,0,1,5,4,1,0,1000,0,1000,1359.64
127961568,0,27,1,2,1,0,1,112908,15,57,57,0,0,56194,11260.01,9500,14973.01
127961570,1,24,0,4,3,0,3,0,3,36,35,1,0,12600,0,6500,9174.57
127961571,1,24,0,3,9,0,1,0,1,3,3,0,0,1000,0,1000,1206.72
127961572,0,32,0,4,9,0,1,0,1,6,6,0,0,1000,0,1000,1136.28
127961574,1,32,0,5,9,0,3,0,2,9,8,1,0,4000,0,2000,2357.62
127961578,1,31,3,4,9,0,3,4757,15,74,70,1,0,53726,4448.9,13400,16274.32
127961580,1,20,0,2,9,0,1,0,1,3,3,0,0,750,0,750,1019.88
127961582,0,39,0,3,9,0,1,60803,3,10,9,1,0,15112,5040.08,6500,8249.19
127961586,1,23,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0
