ID,性别,性别2,年龄,注册时间,文化程度,文化程度2,毕业院校,学习形式,征信记录,借款用途,还款来源,工作信息,收入情况,收入情况2,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,资金运用情况,其他事项,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127914912,女,2,24,2016/3/30,无,1,无,无,暂未提供,兼职创业,薪资收入,私营业主,2000-5000（含2000）,2,"5,183.00",3,17,17,0,0,兼职创业,暂无,5134,864.24,2500,2854.62
127914913,男,1,27,2017/7/18,无,1,无,无,暂未提供,旅游,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,0,0,0,0,0,旅游,暂无,0,0,0,0
127914917,男,1,30,2017/5/10,无,1,无,无,无逾期,旅游,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,8,48,46,2,0,旅游,暂无,18721,4288.67,5030,8527.82
127914918,女,2,28,2016/11/27,专科,2,广西农业职业技术学院,普通,有逾期,信用卡,日常消费,薪资收入,8000-15000（含8000）,4,"33,693.00",19,56,53,3,0,日常消费,暂无,43833,5499.18,10000,21001.25
127914919,男,1,24,2015/12/17,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,3,3,0,0,医疗,暂无,1000,0,1000,1211.73
127914920,男,1,21,2016/9/3,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"5,240.00",4,12,10,2,0,日常消费,暂无,6965,5339.96,3000,6145.43
127914922,男,1,28,2016/7/15,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,3,17,12,5,0,生产经营,暂无,7992,270.65,3000,5767.1
127914924,女,2,25,2017/10/2,专科,2,江苏经贸职业技术学院,普通,暂未提供,医疗,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,1,9,4,5,0,医疗,暂无,6000,1882.05,6000,8158.2
127914925,男,1,30,2015/7/28,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,3,28,24,4,0,日常消费,暂无,3538,148.2,2000,3149.69
127914927,女,2,32,2017/1/3,无,1,无,无,暂未提供,旅游,个人存款,私营业主,8000-15000（含8000）,4,"5,745.00",17,90,88,2,0,旅游,暂无,65389,9666,9000,21357.76
127914929,女,2,25,2016/8/25,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,29,154,150,2,0,日常消费,暂无,42047,0,3000,13027.33
127914931,男,1,29,2017/8/22,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,13,67,64,3,0,日常消费,暂无,17609,3667.64,2000,8871.19
127914932,男,1,40,2017/1/25,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,3,"44,815.00",1,0,0,0,0,日常消费,暂无,900,1061.88,900,1061.88
127914934,男,1,27,2015/10/15,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,3,2,1,0,日常消费,暂无,1100,0,1100,1322.98
127914936,男,1,23,2017/10/31,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,8,24,24,0,0,日常消费,暂无,6148,1512.99,1083,2199.66
127914937,男,1,50,2016/6/2,无,1,无,无,暂未提供,旅游,经营收入,私营业主,15000及以上,5,"2,340.00",22,66,65,1,0,旅游,暂无,26921,2641.49,3340,5612.89
127914938,女,2,32,2016/6/3,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,20,90,73,11,0,日常消费,暂无,37434,6132.96,8783,12930.25
127914939,男,1,21,2017/2/16,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,"2,200.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127914942,女,2,47,2017/10/21,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,1,7,7,0,0,生产经营,暂无,4000,2103.65,4000,5328.75
127914943,女,2,48,2017/6/14,无,1,无,无,暂未提供,旅游,个人存款,暂未提供,5000-8000（含5000）,3,"316,511.00",3,16,16,0,0,旅游,暂无,7333,3495.44,3599,6044.3
127914944,女,2,23,2017/6/20,无,1,无,无,暂未提供,日常消费,个人存款,私营业主,8000-15000（含8000）,4,暂未提供,4,9,4,5,0,日常消费,暂无,15000,3851.1,5300,5826.33
127914949,女,2,30,2017/10/24,本科,3,潍坊学院,普通,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,3,"61,574.00",6,28,28,0,0,医疗,暂无,35994,4905.56,14000,16249.1
127914950,男,1,29,2017/10/18,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127914953,男,1,42,2016/3/23,本科,3,中国农业大学,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"64,391.00",4,20,20,0,0,日常消费,暂无,14584,1803.96,7000,8333.84
127914954,男,1,26,2017/2/20,无,1,无,无,暂未提供,医疗,薪资收入,私营业主,5000-8000（含5000）,3,"34,906.00",8,33,33,0,0,医疗,暂无,20333,8418.04,4000,12452.66
127914955,男,1,27,2017/10/31,专科,2,浙江广播电视大学,成人,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,6,4,2,0,日常消费,暂无,6000,0,6000,6851.22
127914957,男,1,21,2016/2/29,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,2,9,7,2,0,日常消费,暂无,2389,0,1600,1901.91
127914958,男,1,28,2016/9/1,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,"12,047.00",14,93,80,11,0,医疗,暂无,40265,9051.36,5804,15590.97
127914959,女,2,27,2017/5/16,专科,2,呼伦贝尔学院,成人,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"3,361.00",23,135,133,1,0,日常消费,暂无,32098,2962.63,3900,10133.14
127914960,男,1,19,2018/4/1,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000以下,1,372,3,9,8,1,0,日常消费,暂无,8643,6071.27,7000,8625.42
127914963,男,1,22,2017/1/24,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,2,18,18,0,0,日常消费,暂无,6412,2132.52,5412,6843.18
127914966,男,1,23,2016/10/12,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"24,451.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127914967,女,2,42,2017/5/31,无,1,无,无,暂未提供,医疗,投资收入,暂未提供,8000-15000（含8000）,4,"71,640.00",7,22,22,0,0,医疗,暂无,54042,12524.42,15100,18831.45
127914969,男,1,29,2016/11/19,专科,2,临沂大学,成人,暂未提供,医疗,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,9,41,21,19,0,医疗,暂无,10947,3713.29,3343,7325.46
127914971,男,1,36,2017/8/3,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,"5,727.00",1,2,1,1,0,装修,暂无,4840,5485.2,4840,6582.24
127914974,男,1,31,2015/6/10,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,8,90,90,0,0,日常消费,暂无,17899,0,3238,12534.71
127914977,男,1,45,2017/5/24,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,4,31,30,1,0,日常消费,暂无,14429,3079.29,5104,11139.19
127914979,女,2,24,2018/7/9,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,暂未提供,1,2,0,2,0,日常消费,暂无,6300,4956,6300,7480.38
127914981,男,1,25,2016/5/11,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,"8,656.00",12,70,70,0,0,日常消费,暂无,21528,4170.6,5000,7736.06
127914982,男,1,29,2017/6/19,专科,2,厦门华天涉外职业技术学院,普通,暂未提供,装修,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,10,29,28,1,0,装修,暂无,74210,4402.65,12700,14117.4
127914983,男,1,27,2017/9/14,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,2,13,5,8,0,日常消费,暂无,5981,773.64,3000,4941.94
127914984,男,1,24,2018/9/10,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,医疗,暂无,0,0,0,0
127914986,女,2,19,2018/1/14,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,12,9,2,1,医疗,暂无,2000,0,2000,2763.96
127914988,男,1,27,2017/3/25,无,1,无,无,暂未提供,医疗,经营收入,暂未提供,2000-5000（含2000）,2,暂未提供,9,93,91,2,0,医疗,暂无,12258,0,2158,9012.72
127914989,男,1,33,2015/5/19,本科,3,渤海大学文理学院,普通,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,4,7,5,2,0,装修,暂无,5250,0,3000,3640.17
127914992,男,1,34,2015/10/15,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,9,8,1,0,日常消费,暂无,2030,402.27,1015,1313.39
127914993,男,1,31,2017/12/29,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,4,16,16,0,0,日常消费,暂无,4991,0,3000,4079.28
127914995,男,1,26,2016/5/3,本科,3,中南林业科技大学,普通,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,12,12,0,0,日常消费,暂无,5000,0,5000,4298.85
127914996,男,1,29,2018/5/18,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,1,3,3,0,0,日常消费,暂无,6000,3539.79,6000,7079.58
127914997,男,1,33,2016/5/19,专科(高职),2,浙江育英职业技术学院,普通,暂未提供,日常消费,薪资收入,暂未提供,15000及以上,5,暂未提供,23,105,73,32,0,日常消费,暂无,64914,11044.69,5000,12707.94
127915000,男,1,24,2018/6/15,专科,2,黑龙江生物科技职业学院,普通,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"2,575.00",1,2,2,0,0,日常消费,暂无,3000,1089.99,3000,3269.97
127915001,男,1,28,2016/7/24,专科,2,广西艺术学院,普通,暂未提供,旅游,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,12,93,27,64,0,旅游,暂无,28602,8080.63,4921,9745.2
127915004,男,1,31,2015/11/13,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,2000-5000（含2000）,2,"12,174.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127915006,男,1,21,2015/8/28,无,1,无,无,暂未提供,医疗,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,2,18,18,0,0,医疗,暂无,2500,0,1250,1403.88
127915007,女,2,29,2017/4/3,专科(高职),2,阜阳职业技术学院,普通,有逾期,信用卡，其他贷款,日常消费,薪资收入,2000-5000（含2000）,2,"19,126.00",1,12,12,0,0,日常消费,暂无,3000,0,3000,3558.48
127915009,男,1,30,2016/2/16,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"1,500.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127915010,女,2,34,2017/8/26,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,4,25,25,0,0,日常消费,暂无,22249,4435.81,9500,11417.78
127915013,男,1,35,2017/5/20,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,16,12,4,0,日常消费,暂无,2112,735.95,1112,1519.98
127915015,男,1,26,2015/10/1,专科,2,柳州职业技术学院,普通,暂未提供,兼职创业,经营收入,私营业主,5000-8000（含5000）,3,"1,372.00",0,0,0,0,0,兼职创业,暂无,0,0,0,0
127915016,男,1,41,2016/6/1,专科,2,中央广播电视大学,成人,暂未提供,装修,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,18,175,157,17,0,装修,暂无,28418,2054.48,5100,10861.63
127915020,男,1,31,2016/1/19,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"8,595.00",4,24,21,3,0,日常消费,暂无,19265,5614.18,9800,11812.29
127915022,男,1,36,2016/10/21,无,1,无,无,暂未提供,旅游,经营收入,私营业主,2000-5000（含2000）,2,暂未提供,2,8,3,5,0,旅游,暂无,4000,1056.96,2000,2564.2
127915023,男,1,24,2016/8/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"5,068.00",4,30,30,0,0,日常消费,暂无,11346,3856.95,3885,7606.94
127915025,男,1,24,2016/12/20,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"4,000.00",6,18,13,4,0,日常消费,暂无,9710,0,4000,5842.04
127915028,男,1,22,2017/3/26,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,暂未提供,17,98,98,0,0,日常消费,暂无,17975,2047.92,2659,4498.8
127915030,男,1,28,2017/9/1,无,1,无,无,暂未提供,生产经营,个人存款,私营业主,5000-8000（含5000）,3,暂未提供,1,3,3,0,0,生产经营,暂无,1000,0,1000,1192.26
127915032,女,2,24,2017/10/22,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127915034,男,1,29,2016/9/1,专科(高职),2,安徽机电职业技术学院,普通,暂未提供,装修,个人存款,暂未提供,8000-15000（含8000）,4,暂未提供,27,130,130,0,0,装修,暂无,56877,8984.33,8000,13874.36
127915035,男,1,26,2018/4/11,无,1,无,无,暂未提供,医疗,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,1,2,2,0,0,医疗,暂无,4100,3225.04,4100,4837.56
127915036,男,1,19,2017/8/23,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,3,0,0,日常消费,暂无,500,0,500,606.66
127915038,男,1,24,2017/10/19,本科,3,江苏大学,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"97,966.00",1,2,2,0,0,日常消费,暂无,20900,27104,20900,29568
127915039,女,2,33,2015/9/5,专科,2,中央广播电视大学,成人,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,4,"29,847.00",17,121,121,0,0,日常消费,暂无,76012,13320.32,15000,32649.7
127915040,女,2,44,2016/10/12,无,1,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,"6,775.00",1,2,1,1,0,装修,暂无,8100,6331.04,8100,9542.45
127915041,男,1,37,2017/7/31,专科,2,云南大学,成人,暂未提供,日常消费,经营收入,私营业主,15000及以上,5,暂未提供,5,22,21,1,0,日常消费,暂无,20437,3490.15,9500,10847.7
127915043,男,1,37,2016/12/17,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,4,暂未提供,21,117,117,0,0,日常消费,暂无,41539,5658.21,4448,12769.33
127915044,男,1,22,2017/4/12,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,6,42,39,3,0,日常消费,暂无,7310,1070.34,2750,3086.4
127915046,女,2,29,2017/7/10,无,1,无,无,暂未提供,装修,经营收入,私营业主,8000-15000（含8000）,4,"25,140.00",1,7,7,0,0,装修,暂无,6500,3398.1,6500,8837.94
127915048,男,1,40,2015/9/29,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,12,12,0,0,装修,暂无,2000,0,2000,1310.26
127915051,男,1,18,2017/10/4,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,2,2,0,0,日常消费,暂无,500,0,500,617.49
127915052,女,2,36,2016/12/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"3,252.00",5,32,24,8,0,日常消费,暂无,14170,1830.5,5100,8196.08
127915054,男,1,42,2017/11/21,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"3,800.00",0,0,0,0,0,旅游,暂无,0,0,0,0
127915055,男,1,28,2017/9/8,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,4,26,26,0,0,日常消费,暂无,6487,1266.24,2396,3680.61
127915058,男,1,27,2016/2/2,专科,2,成都信息工程学院银杏酒店管理学院,普通,暂未提供,医疗,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,12,65,65,0,0,医疗,暂无,20098.41,0,3370,7604.08
127915059,男,1,29,2017/5/29,专科,2,黑龙江农垦农业职业技术学院,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"42,466.00",6,34,31,3,0,日常消费,暂无,20643,6113.64,7700,10779.55
127915060,女,2,37,2017/6/28,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,5,28,25,3,0,日常消费,暂无,14790,3371.5,5600,6476.7
127915061,男,1,18,2017/11/18,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,2,1,0,日常消费,暂无,2000,0,2000,2443.23
127915063,男,1,28,2017/8/11,无,1,无,无,暂未提供,医疗,薪资收入,私营业主,5000-8000（含5000）,3,"2,500.00",4,25,19,6,0,医疗,暂无,4657,925.67,1800,3255.5
127915064,男,1,24,2017/9/8,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"1,621.00",2,6,5,1,0,日常消费,暂无,2160,0,1300,1523.25
127915068,男,1,24,2016/5/31,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,5,21,12,9,0,日常消费,暂无,19160,1409.2,7000,9649.57
127915070,女,2,25,2017/2/15,本科,3,四川外国语大学重庆南方翻译学院,普通,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,9,72,52,19,0,日常消费,暂无,21776,2596.98,5000,10265.73
127915071,男,1,44,2017/4/27,无,1,无,无,暂未提供,装修,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,4,27,27,0,0,装修,暂无,11669,833.79,4786,6339.33
127915072,男,1,35,2014/6/27,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,12,58,55,3,0,装修,暂无,45740,7534.25,10000,12262.64
127915073,男,1,25,2016/1/10,无,1,无,无,暂未提供,医疗,个人存款,暂未提供,8000-15000（含8000）,4,"2,633.00",10,29,24,5,0,医疗,暂无,16169,1585.64,3800,4356.99
127915076,男,1,41,2015/8/15,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,8,86,79,7,0,日常消费,暂无,36118,0,8645,12185.76
127915077,男,1,21,2017/8/9,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,2,1,0,日常消费,暂无,3000,3015.66,3000,4079.82
127915078,男,1,30,2016/1/21,专科,2,湖南涉外经济学院,普通,暂未提供,日常消费,薪资收入,暂未提供,15000及以上,5,"86,868.00",21,144,124,19,0,日常消费,暂无,69425,13978.47,12874,17812.95
127915079,男,1,24,2016/8/20,专科,2,贵州交通职业技术学院,普通,暂未提供,装修,薪资收入,暂未提供,2000-5000（含2000）,2,"22,654.00",10,52,52,0,0,装修,暂无,29600,14204.38,7000,20203.99
127915080,男,1,27,2017/4/21,本科,3,红河学院,普通,暂未提供,旅游,薪资收入,私营业主,8000-15000（含8000）,4,"40,628.00",5,37,30,5,0,旅游,暂无,10057,1062.67,3500,4251.52
127915082,女,2,20,2016/12/25,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,10,64,62,1,0,日常消费,暂无,8412,1068.89,1100,2179.51
127915084,男,1,20,2016/3/16,无,1,无,无,暂未提供,日常消费,薪资收入,公务员,5000-8000（含5000）,3,暂未提供,1,2,1,1,0,日常消费,暂无,900,326.99,900,980.97
127915085,男,1,41,2017/5/4,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,4,23,20,3,0,生产经营,暂无,6782,237.55,3000,3549.04
127915088,女,2,22,2018/9/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127915089,男,1,35,2016/8/29,本科,3,中央广播电视大学,成人,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,1,6,6,0,0,生产经营,暂无,5500,0,5500,5825.22
127915090,女,2,30,2016/11/27,无,1,无,无,暂未提供,装修,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,7,46,37,6,0,装修,暂无,42707,1595.96,18500,20075.58
127915093,男,1,33,2017/3/4,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,"1,032.00",4,27,22,5,0,日常消费,暂无,11810,1576.14,4000,6567.51
127915094,男,1,23,2016/11/14,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,11,29,29,0,0,日常消费,暂无,23444,0,5000,9251.66
127915097,男,1,25,2015/8/7,专科,2,广州民航职业技术学院,普通,有逾期,信用卡，其他贷款,日常消费,薪资收入,8000-15000（含8000）,4,"139,570.00",18,74,72,2,0,日常消费,暂无,44960,4765.5,10300,13049.56
127915098,女,2,26,2017/3/27,本科,3,广州美术学院,普通,暂未提供,医疗,个人存款,私营业主,5000-8000（含5000）,3,暂未提供,10,62,27,29,0,医疗,暂无,36438,0,10000,11244.68
127915099,男,1,27,2017/4/28,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,96,8,41,41,0,0,日常消费,暂无,9185,943.88,1800,2285.73
127915101,男,1,33,2016/6/18,无,1,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,23,121,94,27,0,装修,暂无,33540,3588.97,3000,8577.21
127915102,男,1,20,2017/11/26,无,1,无,无,无逾期,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,1,4,4,0,0,日常消费,暂无,900,353.98,900,1061.94
127915103,男,1,28,2017/1/24,无,1,无,无,暂未提供,生产经营,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,1,7,5,2,0,生产经营,暂无,2000,1087.2,2000,2719.28
127915105,男,1,36,2018/6/30,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,2,2,0,0,日常消费,暂无,1200,944,1200,1416
127915106,男,1,29,2015/11/10,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,9,44,10,34,0,日常消费,暂无,17702,0,3561,7185.24
127915109,女,2,30,2017/3/8,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,12,6,6,0,日常消费,暂无,11000,0,11000,12354.36
127915110,男,1,18,2018/3/11,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,3,0,0,日常消费,暂无,2250,2294.82,2250,3059.76
127915117,女,2,29,2017/11/8,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,2,1,0,日常消费,暂无,1500,0,1500,1820.07
127915118,男,1,27,2017/7/18,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127915119,男,1,34,2017/1/29,专科（高职）,2,甘肃林业职业技术学院,普通,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"1,363.00",2,9,5,4,0,日常消费,暂无,8074,0,6000,6792.71
127915121,女,2,24,2017/6/23,本科,3,湖北民族学院,普通,暂未提供,装修,薪资收入,暂未提供,8000-15000（含8000）,4,"13,580.00",5,36,36,0,0,装修,暂无,12192,678.09,5000,5500.8
127915123,女,2,32,2015/11/11,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,5,44,43,1,0,装修,暂无,25547,0,9142,10796.38
127915125,女,2,27,2018/6/14,无,1,无,无,暂未提供,兼职创业,薪资收入,暂未提供,5000-8000（含5000）,3,"9,354.00",0,0,0,0,0,兼职创业,暂无,0,0,0,0
127915126,男,1,25,2016/1/2,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"5,800.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127915127,男,1,40,2016/9/11,无,1,无,无,有逾期,信用卡,医疗,薪资收入,2000-5000（含2000）,2,暂未提供,10,43,40,3,0,医疗,暂无,15393,1442.58,3000,5070.06
